Week,Tier,Player 1,Player 2,Date,Streamer,Match start,Board visibility start,VOD Link,P1 Score,P2 Score,Bingo,Winner
QTR,C,Frogmoss10,dahdumbguy,4/22/2025,Val1407,569,569,https://www.youtube.com/watch?v=d1GtgIvANQw,13,8,-,Frogmoss10
QTR,C,Morzis,amarettosis,4/16/2025,WinnerBit,442,442,https://youtu.be/_4NyLGvRD6U,10,8,-,Morzis
QTR,C,A guy,Dom,4/18/2025,Val1407,243,262,https://www.youtube.com/watch?v=T3M36XadQcM,10,5,P1,A guy
QTR,C,Smo,WinnerBit,4/15/2025,Val1407,319,319,https://www.youtube.com/watch?v=YulN4oaQuLY,12,11,-,Smo
SEMI,A,RedRobot,Cosmoing,4/24/2025,Matt,461,461,https://youtu.be/dphphqxI9CI,12,13,-,Cosmoing
SEMI,A,Spooty,Khana,4/25/2025,Karma,192,192,https://youtu.be/_sBpufX11Gk,13,11,-,Spooty
SEMI,B,Frank,Val1407,4/27/2025,pizzapartytime,1031,1031,https://www.twitch.tv/videos/2448062699,8,12,P2,Val1407
SEMI,B,Flick,May,4/27/2025,Karma,365,365,https://www.youtube.com/watch?v=jR07cm1YuWM,7,13,-,May
SEMI,C,Frogmoss10,Smo,4/26/2025,Matt,534,534,https://youtu.be/LwSYophmc-I,13,9,-,Frogmoss10
SEMI,C,Morzis,A guy,4/25/2025,Val1407,656,656,https://www.youtube.com/watch?v=nwrfcs_8A6w,13,12,-,Morzis
3rd Place,A,RedRobot,Khana,5/7/2025,WinnerBit,165,165,https://www.youtube.com/watch?v=K1pY3lNUjRU,11,13,-,Khana
3rd Place,B,Frank,Flick,5/4/2025,Karma,540,540,https://www.youtube.com/watch?v=RNPIIx7i8yI,9,8,P2,Flick
3rd Place,C,A guy,Smo,5/1/2025,Kanvas,204,204,https://youtu.be/rMpDrQ-eZXk,13,7,-,A guy
FINAL,A,Spooty,Cosmoing,5/2/2025,Matt,759,759,https://www.youtube.com/watch?v=CLreXQuyzjs,13,11,-,Spooty
FINAL,B,may,Val1407,5/4/2025,Matt,645,645,https://youtu.be/3n5pWKEIKaY,4,5,P2,Val1407
FINAL,C,Frogmoss10,Morzis,5/4/2025,Val1407,573,573,https://www.youtube.com/watch?v=rGb9XsDXFns,6,2,P1,Frogmoss10
